Gene_name	S1-d0	S2-d0	S3-d0	S4-d0	S5-d0	S6-d0	S7-d0	S8-d0	S9-d0	S10-d0	S1-d10	S2-d10	S3-d10	S4-d10	S5-d10	S6-d10	S7-d10	S8-d10	S9-d10	S10-d10
Tcl1b1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd101	6	2	3	5	5	5	2	3	0	2	3	2	1	7	6	0	0	0	2	3
Shbg	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Lrrc18	0	0	1	1	5	5	8	8	5	5	7	5	3	7	2	7	2	12	10	12
Tle3	2941	2498	2683	3125	3767	3173	3515	3391	3555	3292	3499	3077	2295	2719	3816	3225	1301	2598	3010	3132
Olfr872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930583P06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Htr2c	0	0	0	0	1	0	2	0	1	0	0	0	2	4	2	0	2	0	1	0
Gm16675	20	12	22	25	22	24	24	34	34	48	27	18	11	24	43	32	10	13	31	40
1700030F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trip4	1230	1295	1482	2052	2188	1346	1368	1534	1747	1615	1703	1972	1484	2190	2513	1347	853	1426	1851	1684
Stag1	1806	1929	2222	2565	2805	1896	2055	2179	3122	2675	2059	2717	2015	2763	3070	2033	1635	2358	3000	2347
Olfr506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Mpg	573	508	670	883	815	996	1151	1052	1000	974	602	718	512	707	979	652	246	605	848	773
Apol8	15	16	11	6	11	19	15	79	43	42	19	25	6	8	24	22	29	25	92	42
Atg16l2	300	257	298	401	490	251	227	265	350	333	504	384	214	388	533	301	81	182	313	393
Ntrk2	35	49	36	91	269	39	77	160	947	835	514	751	390	630	1148	5403	2139	3087	6984	4494
Tssk5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xrcc2	173	182	243	361	267	124	168	129	287	204	151	228	115	233	212	105	86	137	298	184
Nap1l5	81	47	29	54	71	38	50	13	35	35	59	39	19	19	79	114	49	68	68	83
Haus6	618	749	662	894	770	430	601	407	552	516	415	468	332	480	662	271	203	274	389	343
4930449I24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir743b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphk1	345	547	238	533	398	1088	1127	1105	1218	1131	429	241	152	231	641	989	234	625	1092	1000
Esp3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfam	768	659	861	1207	1204	701	719	800	955	878	801	1063	739	1123	1363	605	364	662	846	812
Ephb6	326	223	371	361	471	388	336	495	791	1000	444	436	324	387	729	1117	286	685	1428	1689
Nefm	5	23	24	15	11	1	10	2	6	5	19	21	14	8	12	4	7	3	18	4
Usp11	496	435	1011	895	906	694	1068	1377	899	794	654	1124	792	1052	1029	879	492	901	1271	991
Gm36229	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0
Gm12018	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tagap	105	161	19	257	188	157	196	38	290	271	511	245	95	246	695	743	107	219	292	845
Mettl23	246	284	315	529	516	354	399	391	576	517	363	377	272	518	634	374	122	361	521	507
Tigd4	1	4	2	2	4	3	1	1	2	2	3	1	3	0	3	4	0	2	3	7
Fam107b	1247	854	743	845	1322	1146	861	854	1032	1206	1361	1026	770	1032	1323	1089	464	923	1046	1561
Fam161a	77	87	94	100	88	109	142	146	142	141	101	158	110	150	163	143	92	146	220	183
1700041M19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif3j2	600.83	1413.99	1141.97	982.47	1000.13	337.28	1048.58	850.66	1192.88	1032.96	1204.93	724.26	412.63	1341.86	1677.91	0.19	808.98	412.16	527.58	927.96
G6pd2	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	3
A930007I19Rik	7	7	6	6	11	8	2	9	14	8	5	11	5	7	8	9	12	12	24	16
Olfr199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cahm	7	5	10	7	13	13	13	11	31	32	15	11	9	31	9	17	4	21	24	20
Mir466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ank2	1692	1787	1571	2563	3069	1562	1969	1672	4771	4040	1804	2722	1591	2823	3013	2444	1996	2463	4974	3727
Olfr494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001G17Rik	1	4	9	12	6	10	10	10	10	7	3	4	5	4	11	5	3	2	3	4
5730420D15Rik	0	0	4	0	1	0	1	0	1	0	1	2	0	2	1	1	1	0	0	1
Slc20a1	4972	7266	2850	4672	3622	3654	4784	2765	1624	1328	3193	2460	1649	2136	5377	923	514	1168	1746	1535
Vmn1r22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Noto	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtif3	356	320	452	595	540	368	381	483	494	512	510	592	415	586	631	500	240	411	503	481
5730409E04Rik	829	732	1010	1498	1441	1056	1042	1247	1685	1497	1130	1432	986	1576	1851	1134	535	1035	1530	1429
Scrt1	4	3	1	3	5	6	7	2	1	0	7	0	2	1	2	6	1	2	0	0
Rev3l	1860	2006	2463	2930	3466	2571	2480	3522	4430	4221	3877	3986	3551	3485	4416	3520	2519	3305	4861	4264
Izumo4	143	118	177	247	191	342	365	353	386	366	212	318	193	253	307	309	136	335	422	432
4933409G03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trappc6a	342	283	397	667	460	413	457	442	539	484	653	499	402	624	811	531	80	396	511	672
9130204L05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sec14l5	0	1	1	2	1	1	2	1	1	0	0	0	0	3	0	2	0	0	1	0
Fra10ac1	228	214	318	346	402	223	204	267	278	313	288	280	226	318	437	230	175	256	279	318
Dpysl5	36	16	21	10	27	14	14	14	15	35	23	30	30	23	40	20	9	25	9	18
Eif3j1	551.17	0.01	0.03	556.53	554.87	548.72	0.42	0.34	0.12	0.04	0.07	552.74	545.37	0.14	0.09	919.81	0.02	547.84	553.42	0.04
Pdcd5	1356	1396	1394	1567	1572	1397	1497	1281	1249	1242	1240	1498	942	1177	1566	1147	656	1041	976	1012
Ebag9	367	342	389	490	537	392	425	375	502	500	461	500	372	485	671	505	362	432	551	531
Olfr557	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap5z1	528	408	488	636	736	617	585	553	757	773	631	662	449	651	757	785	259	608	796	781
Lrrk1	4841	4499	3927	4827	5907	5366	5441	6014	6525	6256	4997	3880	3070	4049	6416	4451	1577	3515	5153	5157
Nipsnap1	361	427	707	776	634	386	622	889	460	338	527	861	659	946	875	126	162	338	329	259
Slc25a11	2111	1700	2321	3281	3467	2556	2714	2580	3172	2963	2735	3587	2588	3642	3970	2378	889	2315	2841	2913
Spr	689	610	655	911	825	758	767	730	892	667	644	648	497	650	957	724	203	486	709	743
Usp25	2000	1787	1930	2118	2630	2361	2009	2251	2399	2488	2569	2697	2112	2620	3012	2445	1408	2390	2492	2259
Slc9a9	675	259	520	1262	2314	747	479	780	2882	2871	3367	3068	2857	3452	3471	4202	1313	3700	4764	5122
Extl1	21	11	35	26	21	6	5	4	14	6	30	64	87	101	100	7	3	17	11	11
Ahcyl2	864	739	921	1426	1737	841	761	1163	1812	1815	1617	1861	1496	2412	2325	2170	770	1793	2618	3226
Olfr1437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gxylt1	1367	1391	1502	1943	2230	1311	1528	1508	2399	2104	1696	1698	1392	1858	2146	1715	1053	1515	2063	1685
H60c	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Fgb	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dalir	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Pwp2	790	742	711	1002	1114	607	578	580	759	750	654	689	557	760	999	670	239	583	758	764
A930012L18Rik	7	0	6	6	11	9	5	11	14	12	14	11	11	11	15	20	5	22	29	26
Mir98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shox2	1429	860	1109	1240	1470	1139	956	1038	559	536	1158	636	510	581	1071	591	274	551	576	343
Mir6957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdzrn3	5121	5321	3749	4522	5511	4375	4871	3462	3456	3228	4882	4475	2611	3269	6274	3825	1926	2345	3573	3257
Opn1mw	0	0	1	0	0	0	1	0	4	1	2	0	1	0	0	1	0	0	2	0
Maoa	1418	1505	1260	1790	2416	1204	1185	1064	1444	1219	2065	2054	1298	2148	3152	2251	1146	1416	2488	2137
Tmem269	2	2	2	4	0	3	0	2	2	7	1	1	0	2	1	3	3	6	2	6
Ints6l	541	285	500	826	1302	715	422	775	1286	1489	888	1195	903	1231	1197	1519	628	1290	2282	2163
Maml1	3321	3177	3654	4127	4217	2459	2817	2910	2973	2690	3727	4058	3132	3691	5080	2169	1073	1967	2426	2273
1810046K07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Dcaf13	1167	1315	1327	1715	1726	1234	1227	1055	1267	1303	1110	1246	829	1227	1638	985	606	914	1145	1167
Olfr930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Patl1	1265	1220	1255	1427	1595	1168	1251	1275	1516	1319	1356	1419	1096	1384	1587	1388	814	1226	1357	1257
Olfr175-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700113A16Rik	9	4	24	34	30	13	18	22	19	32	16	36	24	55	37	13	11	28	32	41
Olfr1241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcb5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Jag1	4480	3394	2340	3178	4464	1323	1407	1295	2487	1850	1859	2645	1594	2482	2584	1309	736	1128	1519	1036
Adamts13	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	1
Hmx1	13	16	25	20	18	13	7	13	14	18	6	17	14	14	24	2	0	4	5	4
Musk	1	1	2	5	5	10	5	5	22	25	3	3	6	4	5	27	14	27	57	28
Nle1	343	334	369	513	463	289	326	292	345	343	303	352	241	345	424	271	101	205	320	263
Foxf1	319	321	199	411	349	117	203	127	182	87	268	404	186	348	488	67	43	67	209	115
Olfr733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf2a1	984	1047	1013	1567	1700	833	875	897	1175	1022	1145	1441	1069	1737	1837	934	578	966	1260	1244
Gm2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syngr4	7	3	10	9	3	2	6	3	6	3	0	5	3	3	7	4	1	6	3	2
Cox5b	2523	2273	2505	3019	2831	3122	3062	2885	2592	2640	2942	4060	2735	3580	3608	3471	1515	3052	2818	3296
Mrvi1	600	890	414	645	772	442	782	362	464	350	976	639	393	682	1074	803	146	256	656	1018
Zfp935	141	228	209	278	293	201	217	218	304	278	250	249	218	327	314	208	245	269	324	253
Prss54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930480K23Rik	33	19	27	39	44	15	19	28	65	53	40	64	56	87	62	48	27	35	91	54
Crisp1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm6763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spata33	12	6	9	25	10	4	8	14	18	16	15	22	8	21	29	15	11	22	26	7
Nfia	1116	970	2062	2939	2958	2453	3688	4283	4818	4019	2758	4058	2962	4072	4079	4132	3038	3656	5390	4500
Pnpt1	689	816	733	979	827	920	832	977	800	685	712	814	587	797	877	730	652	795	823	711
Rnf126	1569	1690	1570	1959	1741	1538	1734	1292	1302	1199	1620	1795	1176	1378	2021	1165	458	936	1007	1155
Nubpl	154	142	165	305	243	174	178	229	249	195	157	215	131	269	308	142	55	125	213	166
Cym	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Ecm1	4525	3634	3389	3319	3066	5995	5867	6976	9183	8086	5585	3841	2661	3048	6158	9988	3359	6687	9905	10476
Clca4c-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zwilch	599	540	649	667	588	353	516	238	287	251	258	295	165	302	416	113	93	123	127	153
Pfkfb3	1046	900	1153	2867	1964	755	776	614	1016	1018	5558	5106	3874	7493	5632	1991	1187	2321	1981	2220
Sgsh	1330	996	1513	2103	2518	1575	1455	1348	2742	2674	2360	2385	1888	2189	2807	2503	713	1962	2524	2602
Treml4	36	1	9	3	5	0	0	0	0	0	16	8	9	2	0	0	0	2	2	1
Rassf7	96	89	147	209	168	113	94	130	150	203	144	82	82	92	181	133	23	84	74	108
Tmem86b	33	10	17	38	35	20	15	25	29	24	18	31	36	26	34	22	7	16	30	27
B330016D10Rik	25	23	39	54	72	64	72	50	61	73	29	50	41	43	43	58	15	47	51	61
Lrrc24	3	2	0	5	3	1	4	9	6	8	7	19	12	19	16	10	3	3	10	11
Pcdhga11	271.68	225.02	303.95	306.75	482.85	344.62	391.69	360.01	261.35	410.8	305.32	299.38	190.11	239.42	470.9	211.83	100.52	156.06	308.21	364.86
Cops4	1831	1870	2169	2802	2855	2193	2397	2290	2368	2281	2045	2564	1643	2485	3143	1733	1032	1690	2092	2078
Cap1	16408	15909	12368	17756	20049	16219	14801	13262	17115	16624	14483	13508	8917	12345	18386	12932	4905	10443	12478	13832
Olfr1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp777	992	968	1144	1258	1365	808	990	941	945	827	1101	1356	946	1020	1375	795	429	824	856	787
AA986860	49	43	75	113	109	82	92	77	142	87	133	109	73	111	116	111	63	98	110	90
Gm11563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r26	292	214	488	448	533	141	83	265	256	301	339	540	333	551	552	213	100	219	268	274
Mrps30	936	1057	1056	1344	1240	910	990	937	1058	884	1031	1363	918	1240	1336	927	458	919	917	964
Gm13287	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5
Chrna6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Ccnk	1579	1614	1639	1744	1873	1541	1798	1672	1611	1459	1692	1809	1232	1557	1971	1630	903	1377	1449	1431
Metap2	4395	5003	4675	6217	6115	4153	4437	3999	4804	4568	4353	5208	3563	5268	6802	3262	2428	3504	4112	3932
Snord14d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir5626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm1715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mro	3	4	7	6	2	7	7	4	7	5	10	15	5	8	15	16	9	10	14	17
Aldh4a1	803	970	855	1188	1252	1379	1834	1370	1524	1210	1316	1891	1250	2023	1916	2858	1161	2350	2603	2286
1700025B11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37013	0	0	7.55	3.81	0	15.09	0	0	37.83	15.14	16.24	19.06	7.49	13	6.7	0	8.44	5.61	9.96	0
Mir6373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl28	290	273	332	465	528	324	240	343	446	463	428	339	335	425	517	350	154	288	386	277
Glrx3	1099	1201.56	1090.17	1878.4	1759.6	1244.87	1485.59	1229.19	1735.04	1500.8	1087.77	1325.94	830.81	1726.96	2130.4	1102.09	468.91	1065.12	1677.48	1524.73
Gm19990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Txndc5	15415	16507	18946	23438	23499	19749	24084	21652	25958	23214	18308	20334	14663	20385	28654	16593	6879	13862	19983	21700
Nkx2-1	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	4	0	0	0	0
2310061N02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim25	2700	1570	1991	2635	3479	4486	3262	4982	4270	3868	3170	2356	2024	2569	3462	4702	1919	3440	4173	4349
Dtwd1	183	232	212	317	275	222	225	235	289	232	231	233	155	267	296	186	102	169	232	203
Platr17	2	1	1	0	2	3	1	0	2	2	0	1	0	0	0	0	2	1	0	2
Miga2	712	744	673	1082	1078	742	855	777	1021	980	1135	1542	1272	1777	1682	1363	573	1405	1449	1463
Egfl7	115	136	167	239	135	117	214	168	101	66	107	138	72	117	147	48	28	49	55	69
Ccdc7a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eps8l2	131	117	155	201	213	170	189	331	244	354	434	271	206	264	521	362	147	246	259	460
Mthfs	79	56	84	154	198	148	101	111	291	255	165	160	107	213	236	243	62	229	313	334
Pla2g4e	0	0	1	1	2	0	3	3	8	6	0	3	0	2	1	0	0	5	7	3
Cebpa	862	420	747	1289	1857	1288	588	844	2090	2440	5469	7034	5710	6843	4423	7935	2641	6677	5685	6066
Serpinb8	394	145	328	224	392	654	371	611	961	1164	443	286	216	310	523	729	281	572	836	920
Cdk14	2199	2032	3474	3920	4806	2073	2584	3134	3795	3586	3421	5736	4550	5436	6494	2381	1828	2923	3653	3049
Esco2	201	172	220	249	196	153	194	88	98	102	68	106	55	80	137	19	38	43	16	35
Steap1	165	209	148	156	130	224	209	196	60	84	91	76	97	102	174	40	21	61	86	72
Trim43c	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Pitpnm1	1283	991	1061	1334	1398	1421	1257	1479	1581	1550	1573	1372	1136	1306	1845	1672	457	1304	1517	1745
Tbx2	205	235	302	270	278	210	358	335	232	186	179	239	201	199	294	166	64	172	313	233
Gm5914	7	6	13	12	11	14	12	8	12	8	12	14	4	13	6	4	2	4	11	5
Ascl4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Igfbp4	13376	10051	35803	38676	44077	12721	13916	25597	49310	43726	52196	85425	71825	78740	92086	26544	18024	44776	53935	47205
Slco1a4	0	0	1	2	3	2	1	0	9	5	1	24	10	41	39	4	0	3	12	9
Cd248	14600	11756	13961	12541	13130	14935	14545	15245	27967	22286	15959	16883	11513	11911	18205	23112	14438	14084	19999	15550
Hsd11b2	10	36	31	28	20	49	73	171	135	110	38	86	73	90	102	795	290	605	983	937
E130112N10Rik	7	6	6	8	13	12	2	16	9	12	14	5	17	8	22	9	0	12	23	23
Cryba2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dynap	3	3	3	0	1	3	1	1	0	1	3	0	2	0	1	3	1	5	1	0
Mir3064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2f2	251	99	184	298	210	216	149	174	144	108	102	140	57	132	115	59	51	102	62	63
Phf6	718	772	809	1017	934	634	721	686	652	558	581	646	505	657	862	375	324	390	561	418
Defb40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqp1	3563	759	2218	2129	2593	2084	870	1960	4183	2911	5462	5104	3430	7449	9386	1306	895	1936	4142	2422
Mir6949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4951	44	3	45	6	94	250	27	508	62	124	137	63	151	84	101	429	249	563	312	390
Ces2h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tdrd12	2	0	0	1	0	0	1	0	2	1	1	1	2	1	2	0	0	0	4	3
Myo3b	1	0	2	6	2	5	2	2	0	1	0	0	0	2	1	1	0	0	4	0
Yars2	341	351	314	483	478	284	269	239	326	332	361	415	307	371	479	317	103	301	321	337
Snhg1	548	551	692	912	918	348	389	411	748	797	511	745	493	761	1042	358	202	321	467	390
Olfr1225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gsg1	7	6	4	10	1	10	7	17	12	13	1	0	4	0	5	3	1	7	8	8
Zwint	2893	4101	2229	3702	3506	2876	3571	1901	3102	2451	3452	3360	2249	3305	3975	3450	2031	2846	3821	3458
Gm11696	21	17	23	30	41	37	24	48	75	70	33	42	41	38	23	43	18	41	58	63
Spg11	1910	1820	1975	2522	2720	2083	2077	2327	3096	2918	2214	2436	1824	2407	3129	2476	1062	2108	3010	2640
Btg3	50.14	350	224.71	327	193.69	182.55	273	196	71.39	184	59.09	314.97	219	207.56	354.86	170	121	158	49.72	192
Rasgrp4	151	14	59	132	285	83	15	51	74	165	334	158	186	203	328	73	2	24	71	102
Pygm	16	13	13	14	21	13	23	43	42	31	41	64	68	33	63	81	47	156	107	129
Cdk3-ps	5	10	9	14	10	8	5	5	6	7	5	9	2	10	6	9	2	7	11	9
Pcdh10	241	138	295	261	532	121	161	127	275	288	648	702	484	725	1738	196	95	102	229	223
B230354K17Rik	567	606	730	984	1120	620	772	762	1091	1120	711	901	514	1010	1111	617	395	569	1038	738
Mir18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Derl1	3762	3914	3641	6107	5932	3638	3753	3172	5111	4399	5460	6152	4792	7289	8335	4779	1950	4391	5745	6275
Mir1897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alox15	0	0	1	0	1	0	0	0	4	0	0	0	0	1	0	0	1	0	0	1
Rangap1	3478	3264	3338	4431	4116	2284	2783	1594	2594	2318	2411	2482	1528	2544	3505	1516	651	1317	1568	1495
Tlk2	2138	2338	2468	2982	2904	1786	1904	2014	2022	1952	2295	2797	2044	2568	3299	1620	1102	1552	1840	1692
Chd9	2296	2694	2175	3240	3800	2356	2762	2516	3261	2994	3696	3569	2365	3380	4579	3106	2060	2698	3732	3223
Olfr1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gsg1l2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Defa20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fut1	1	4	4	7	10	0	0	1	0	0	10	9	5	5	12	1	0	3	2	0
Snai3	4	5	5	4	3	2	2	3	0	0	5	2	13	7	6	0	0	1	0	1
Cutc	93	72	90	170	164	156	130	162	202	208	126	180	152	189	222	170	103	146	206	222
Mir195b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem81	124	63	110	133	176	81	70	88	144	136	115	114	98	156	216	94	26	84	129	108
Zfp945	248	340	297	340	386	248	289	355	457	437	387	472	410	446	489	323	487	533	533	385
Gm14137	6	7	5	6	4	22	12	18	3	3	1	3	1	2	4	0	0	0	1	0
Meaf6	561	513	631	655	822	611	730	706	984	873	566	745	514	673	886	632	337	663	822	815
Olfr641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Isca1	1486	1497	1570	2284	2334	1871	1960	1823	2943	2591	2166	2828	1940	2852	2918	3747	1677	2898	3661	3425
Gsc	33	48	149	160	87	39	80	153	168	129	94	155	163	169	199	77	45	276	220	153
Khdrbs3	512	698	295	446	448	442	579	178	177	228	355	338	181	352	488	298	123	157	236	268
Gm3376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pglyrp1	0	0	0	1	0	1	0	0	7	1	0	2	0	0	1	1	0	0	2	1
Iqsec1	3291	3082	3813	4759	5416	3638	4016	4228	6626	5639	5249	6334	4347	5443	6909	5748	2977	5052	5950	5780
Maz	4365	3379	4968	5426	5625	4917	4594	4991	5569	5076	4284	5336	3643	4528	5732	4303	1658	3371	4008	3895
Mir5120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St6galnac4	774	766	849	1302	1345	790	880	979	1381	1292	1156	1324	886	1241	1820	1007	341	937	1249	1367
Slc25a48	0	3	1	1	0	1	1	0	1	2	0	0	0	1	0	0	0	1	3	2
Ythdf3	3059	3349	3317	4004	4198	3212	3561	3430	3789	3321	3900	4051	3120	4009	4863	2926	2058	2969	3544	3186
Got1	1309	1445	1047	1525	1594	892	873	648	758	853	1238	1243	861	1167	1777	889	253	590	620	961
Msmo1	3723	4315	2664	2765	2691	6475	4757	2477	2148	1899	3013	2002	1583	1719	2775	2622	882	2309	2210	3532
Efna2	250	223	407	449	336	401	503	526	572	464	356	464	280	372	438	416	236	351	533	362
Chrm4	4	8	8	5	14	5	4	3	4	1	7	9	10	5	10	7	1	1	4	3
Dkk1	6	4	7	4	24	2	2	0	0	0	4	11	8	0	14	1	0	0	0	1
Mocs3	293	312	292	403	363	309	326	301	380	308	312	360	282	320	423	338	88	252	273	263
Gabrr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Gcc2	939	1163	1134	1460	1472	1195	1306	1466	1583	1404	1327	1523	1168	1446	1769	1170	1044	1262	1560	1360
2310001K24Rik	0	0	0	0	0	0	0	0	0	0	1	2	1	2	2	0	1	2	1	3
5430428K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ubash3b	499	296	296	792	858	514	411	298	529	604	508	673	500	622	629	436	145	366	566	516
Ankub1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
4930413F20Rik	0	1	0	0	0	1	1	1	4	4	0	0	0	0	0	5	0	2	3	1
Tmem43	5198	4712	4929	6437	6307	5055	5691	4873	6369	5444	5342	5715	3754	5656	8036	4336	1702	3279	5044	4866
Tmem219	437	325	487	792	719	505	438	463	668	684	539	621	435	582	754	567	179	468	640	719
Qk	5440	5194	5445	6917	8232	4980	4743	4864	5974	6297	7422	7776	6623	7689	8971	5629	3803	5626	5509	5537
Mrpl39	962	852	903	1101	1046	1108	1163	1085	1035	952	1026	1235	816	1017	1181	1043	690	960	948	881
Olfr933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rtl4	0	1	0	2	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0
Mgst3	281	161	291	408	470	590	442	589	911	929	902	1509	1132	1544	1046	1984	897	1774	1602	2061
Uqcrh	2027	1848	2124	2962	3283	3206	3184	2977	3626	3819	2925	3531	2428	3893	4177	3589	1885	3111	3673	3918
Six3os1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
